 time,noel,npt,ntens,stress,strain,elstrain,plstrain
   0.0000000000000000      ,           1 ,           1 ,           1 ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
   0.0000000000000000      ,           1 ,           1 ,           2 ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
   0.0000000000000000      ,           1 ,           1 ,           3 ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
   0.0000000000000000      ,           1 ,           1 ,           4 ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
   0.0000000000000000      ,           1 ,           1 ,           5 ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
   0.0000000000000000      ,           1 ,           1 ,           6 ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
   0.0000000000000000      ,           1 ,           2 ,           1 ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
   0.0000000000000000      ,           1 ,           2 ,           2 ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
   0.0000000000000000      ,           1 ,           2 ,           3 ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
   0.0000000000000000      ,           1 ,           2 ,           4 ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
   0.0000000000000000      ,           1 ,           2 ,           5 ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
   0.0000000000000000      ,           1 ,           2 ,           6 ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
   0.0000000000000000      ,           1 ,           3 ,           1 ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
   0.0000000000000000      ,           1 ,           3 ,           2 ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
   0.0000000000000000      ,           1 ,           3 ,           3 ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
   0.0000000000000000      ,           1 ,           3 ,           4 ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
   0.0000000000000000      ,           1 ,           3 ,           5 ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
   0.0000000000000000      ,           1 ,           3 ,           6 ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
   0.0000000000000000      ,           1 ,           4 ,           1 ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
   0.0000000000000000      ,           1 ,           4 ,           2 ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
   0.0000000000000000      ,           1 ,           4 ,           3 ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
   0.0000000000000000      ,           1 ,           4 ,           4 ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
   0.0000000000000000      ,           1 ,           4 ,           5 ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
   0.0000000000000000      ,           1 ,           4 ,           6 ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
   0.0000000000000000      ,           1 ,           5 ,           1 ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
   0.0000000000000000      ,           1 ,           5 ,           2 ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
   0.0000000000000000      ,           1 ,           5 ,           3 ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
   0.0000000000000000      ,           1 ,           5 ,           4 ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
   0.0000000000000000      ,           1 ,           5 ,           5 ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
   0.0000000000000000      ,           1 ,           5 ,           6 ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
   0.0000000000000000      ,           1 ,           6 ,           1 ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
   0.0000000000000000      ,           1 ,           6 ,           2 ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
   0.0000000000000000      ,           1 ,           6 ,           3 ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
   0.0000000000000000      ,           1 ,           6 ,           4 ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
   0.0000000000000000      ,           1 ,           6 ,           5 ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
   0.0000000000000000      ,           1 ,           6 ,           6 ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
   0.0000000000000000      ,           1 ,           7 ,           1 ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
   0.0000000000000000      ,           1 ,           7 ,           2 ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
   0.0000000000000000      ,           1 ,           7 ,           3 ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
   0.0000000000000000      ,           1 ,           7 ,           4 ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
   0.0000000000000000      ,           1 ,           7 ,           5 ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
   0.0000000000000000      ,           1 ,           7 ,           6 ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
   0.0000000000000000      ,           1 ,           8 ,           1 ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
   0.0000000000000000      ,           1 ,           8 ,           2 ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
   0.0000000000000000      ,           1 ,           8 ,           3 ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
   0.0000000000000000      ,           1 ,           8 ,           4 ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
   0.0000000000000000      ,           1 ,           8 ,           5 ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
   0.0000000000000000      ,           1 ,           8 ,           6 ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
   0.0000000000000000      ,           2 ,           1 ,           1 ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
   0.0000000000000000      ,           2 ,           1 ,           2 ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
   0.0000000000000000      ,           2 ,           1 ,           3 ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
   0.0000000000000000      ,           2 ,           1 ,           4 ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
   0.0000000000000000      ,           2 ,           1 ,           5 ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
   0.0000000000000000      ,           2 ,           1 ,           6 ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
   0.0000000000000000      ,           2 ,           2 ,           1 ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
   0.0000000000000000      ,           2 ,           2 ,           2 ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
   0.0000000000000000      ,           2 ,           2 ,           3 ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
